UID,Summary,Categories,Start,End
sl_102@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-01-13,2025-01-14
sl_103@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-01-14,2025-01-15
sl_104@srilanka-holidays.api,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-02-04,2025-02-05
sl_105@srilanka-holidays.api,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-02-12,2025-02-13
sl_106@srilanka-holidays.api,Maha Sivarathri Day *†,"- Public Holiday
- Bank Holiday",2025-02-26,2025-02-27
sl_107@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-03-13,2025-03-14
sl_108@srilanka-holidays.api,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2025-03-31,2025-04-01
sl_109@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-04-12,2025-04-13
sl_110@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-04-13,2025-04-14
sl_111@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-04-14,2025-04-15
sl_112@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2025-04-18,2025-04-19
sl_113@srilanka-holidays.api,May Day (International Workers’ Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-05-01,2025-05-02
sl_114@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-05-12,2025-05-13
sl_115@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-05-13,2025-05-14
sl_116@srilanka-holidays.api,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2025-06-07,2025-06-08
sl_117@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-06-10,2025-06-11
sl_118@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-07-10,2025-07-11
sl_119@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-08-08,2025-08-09
sl_120@srilanka-holidays.api,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-09-05,2025-09-06
sl_121@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-09-07,2025-09-08
sl_122@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-10-06,2025-10-07
sl_123@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2025-10-20,2025-10-21
sl_124@srilanka-holidays.api,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-11-05,2025-11-06
sl_125@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-12-04,2025-12-05
sl_126@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-12-25,2025-12-26
