UID,Summary,Categories,Start,End
sl_26@mommy.internal,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-01-14,2022-01-15
sl_27@mommy.internal,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-01-17,2022-01-18
sl_28@mommy.internal,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-02-04,2022-02-05
sl_29@mommy.internal,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-02-16,2022-02-17
sl_30@mommy.internal,Maha sivarathri Day *†,"- Public Holiday
- Bank Holiday",2022-03-01,2022-03-02
sl_31@mommy.internal,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-03-17,2022-03-18
sl_32@mommy.internal,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-04-13,2022-04-14
sl_33@mommy.internal,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-04-14,2022-04-15
sl_34@mommy.internal,Good Friday *†,"- Public Holiday
- Bank Holiday",2022-04-15,2022-04-16
sl_35@mommy.internal,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-04-16,2022-04-17
sl_36@mommy.internal,May Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-05-01,2022-05-02
sl_37@mommy.internal,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2022-05-03,2022-05-04
sl_38@mommy.internal,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-05-15,2022-05-16
sl_39@mommy.internal,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-05-16,2022-05-17
sl_40@mommy.internal,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-06-14,2022-06-15
sl_41@mommy.internal,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2022-07-10,2022-07-11
sl_42@mommy.internal,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-07-13,2022-07-14
sl_43@mommy.internal,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-08-11,2022-08-12
sl_44@mommy.internal,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-09-10,2022-09-11
sl_45@mommy.internal,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-10-09,2022-10-10
sl_46@mommy.internal,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-10-09,2022-10-10
sl_47@mommy.internal,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2022-10-24,2022-10-25
sl_48@mommy.internal,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-11-07,2022-11-08
sl_49@mommy.internal,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-12-07,2022-12-08
sl_50@mommy.internal,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-12-25,2022-12-26
