UID,Summary,Categories,Start,End
sl_127@mommy.internal,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-01-03,2026-01-04
sl_128@mommy.internal,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-01-15,2026-01-16
sl_129@mommy.internal,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-02-01,2026-02-02
sl_130@mommy.internal,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-02-04,2026-02-05
sl_131@mommy.internal,Maha Sivarathri Day *†,"- Public Holiday
- Bank Holiday",2026-02-15,2026-02-16
sl_132@mommy.internal,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-03-02,2026-03-03
sl_133@mommy.internal,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2026-03-21,2026-03-22
sl_134@mommy.internal,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-04-01,2026-04-02
sl_135@mommy.internal,Good Friday *†,"- Public Holiday
- Bank Holiday",2026-04-03,2026-04-04
sl_136@mommy.internal,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-04-13,2026-04-14
sl_137@mommy.internal,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-04-14,2026-04-15
sl_138@mommy.internal,May Day (International Workers’ Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-05-01,2026-05-02
sl_139@mommy.internal,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-05-01,2026-05-02
sl_140@mommy.internal,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday
- Poya Holiday",2026-05-02,2026-05-03
sl_141@mommy.internal,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2026-05-28,2026-05-29
sl_142@mommy.internal,Adhi Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-05-30,2026-05-31
sl_143@mommy.internal,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-06-29,2026-06-30
sl_144@mommy.internal,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-07-29,2026-07-30
sl_145@mommy.internal,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-08-26,2026-08-27
sl_146@mommy.internal,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-08-27,2026-08-28
sl_147@mommy.internal,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-09-26,2026-09-27
sl_148@mommy.internal,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-10-25,2026-10-26
sl_149@mommy.internal,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2026-11-08,2026-11-09
sl_150@mommy.internal,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-11-24,2026-11-25
sl_151@mommy.internal,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-12-23,2026-12-24
sl_152@mommy.internal,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-12-25,2026-12-26
