UID,Summary,Categories,Start,End
sl_153@mommy.internal,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-01-15,2027-01-16
sl_154@mommy.internal,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-01-22,2027-01-23
sl_155@mommy.internal,National Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-02-04,2027-02-05
sl_156@mommy.internal,Navam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-02-20,2027-02-21
sl_157@mommy.internal,Mahasivarathri Day *†,"- Public Holiday
- Bank Holiday",2027-03-06,2027-03-07
sl_158@mommy.internal,Id Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2027-03-10,2027-03-11
sl_159@mommy.internal,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-03-21,2027-03-22
sl_160@mommy.internal,Good Friday *†,"- Public Holiday
- Bank Holiday",2027-03-26,2027-03-27
sl_161@mommy.internal,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-04-13,2027-04-14
sl_162@mommy.internal,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-04-14,2027-04-15
sl_163@mommy.internal,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-04-20,2027-04-21
sl_164@mommy.internal,May Day (Labour Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-05-01,2027-05-02
sl_165@mommy.internal,Id Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2027-05-17,2027-05-18
sl_166@mommy.internal,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-05-20,2027-05-21
sl_167@mommy.internal,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday
- Poya Holiday",2027-05-21,2027-05-22
sl_168@mommy.internal,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-06-18,2027-06-19
sl_169@mommy.internal,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-07-18,2027-07-19
sl_170@mommy.internal,Milad-un-Nabi (Holy Prophet's Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-08-15,2027-08-16
sl_171@mommy.internal,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-08-16,2027-08-17
sl_172@mommy.internal,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-09-15,2027-09-16
sl_173@mommy.internal,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-10-15,2027-10-16
sl_174@mommy.internal,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2027-10-28,2027-10-29
sl_175@mommy.internal,Ill Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-11-13,2027-11-14
sl_176@mommy.internal,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-12-13,2027-12-14
sl_177@mommy.internal,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-12-25,2027-12-26
