UID,Summary,Categories,Start,End
sl_1@mommy.internal,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-01-14,2021-01-15
sl_2@mommy.internal,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-01-28,2021-01-29
sl_3@mommy.internal,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-02-04,2021-02-05
sl_4@mommy.internal,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-02-26,2021-02-27
sl_5@mommy.internal,Maha sivarathri Day *†,"- Public Holiday
- Bank Holiday",2021-03-11,2021-03-12
sl_6@mommy.internal,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-03-28,2021-03-29
sl_7@mommy.internal,Good Friday *†,"- Public Holiday
- Bank Holiday",2021-04-02,2021-04-03
sl_8@mommy.internal,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-04-13,2021-04-14
sl_9@mommy.internal,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-04-14,2021-04-15
sl_10@mommy.internal,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-04-26,2021-04-27
sl_11@mommy.internal,May Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-05-01,2021-05-02
sl_12@mommy.internal,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2021-05-14,2021-05-15
sl_13@mommy.internal,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-05-26,2021-05-27
sl_14@mommy.internal,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-05-27,2021-05-28
sl_15@mommy.internal,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-06-24,2021-06-25
sl_16@mommy.internal,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2021-07-21,2021-07-22
sl_17@mommy.internal,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-07-23,2021-07-24
sl_18@mommy.internal,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-08-22,2021-08-23
sl_19@mommy.internal,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-09-20,2021-09-21
sl_20@mommy.internal,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-10-19,2021-10-20
sl_21@mommy.internal,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-10-20,2021-10-21
sl_22@mommy.internal,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2021-11-04,2021-11-05
sl_23@mommy.internal,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-11-18,2021-11-19
sl_24@mommy.internal,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-12-18,2021-12-19
sl_25@mommy.internal,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-12-25,2021-12-26
