UID,Summary,Categories,Start,End
sl_102@mommy.internal,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-01-13,2025-01-14
sl_103@mommy.internal,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-01-14,2025-01-15
sl_104@mommy.internal,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-02-04,2025-02-05
sl_105@mommy.internal,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-02-12,2025-02-13
sl_106@mommy.internal,Maha Sivarathri Day *†,"- Public Holiday
- Bank Holiday",2025-02-26,2025-02-27
sl_107@mommy.internal,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-03-13,2025-03-14
sl_108@mommy.internal,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2025-03-31,2025-04-01
sl_109@mommy.internal,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-04-12,2025-04-13
sl_110@mommy.internal,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-04-13,2025-04-14
sl_111@mommy.internal,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-04-14,2025-04-15
sl_112@mommy.internal,Good Friday *†,"- Public Holiday
- Bank Holiday",2025-04-18,2025-04-19
sl_113@mommy.internal,May Day (International Workers’ Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-05-01,2025-05-02
sl_114@mommy.internal,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-05-12,2025-05-13
sl_115@mommy.internal,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-05-13,2025-05-14
sl_116@mommy.internal,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2025-06-07,2025-06-08
sl_117@mommy.internal,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-06-10,2025-06-11
sl_118@mommy.internal,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-07-10,2025-07-11
sl_119@mommy.internal,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-08-08,2025-08-09
sl_120@mommy.internal,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-09-05,2025-09-06
sl_121@mommy.internal,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-09-07,2025-09-08
sl_122@mommy.internal,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-10-06,2025-10-07
sl_123@mommy.internal,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2025-10-20,2025-10-21
sl_124@mommy.internal,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-11-05,2025-11-06
sl_125@mommy.internal,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2025-12-04,2025-12-05
sl_126@mommy.internal,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2025-12-25,2025-12-26
