UID,Summary,Categories,Start,End
sl_51@mommy.internal,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-01-06,2023-01-07
sl_52@mommy.internal,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-01-15,2023-01-16
sl_53@mommy.internal,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-02-04,2023-02-05
sl_54@mommy.internal,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-02-05,2023-02-06
sl_55@mommy.internal,Maha sivarathri Day *†,"- Public Holiday
- Bank Holiday",2023-03-18,2023-03-19
sl_56@mommy.internal,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-03-06,2023-03-07
sl_57@mommy.internal,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-04-05,2023-04-06
sl_58@mommy.internal,Good Friday *†,"- Public Holiday
- Bank Holiday",2023-04-07,2023-04-08
sl_59@mommy.internal,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-04-13,2023-04-14
sl_60@mommy.internal,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-04-14,2023-04-15
sl_61@mommy.internal,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2023-04-22,2023-04-23
sl_62@mommy.internal,May Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-05-01,2023-05-02
sl_63@mommy.internal,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-05-05,2023-05-06
sl_64@mommy.internal,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-05-06,2023-05-07
sl_65@mommy.internal,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-06-03,2023-06-04
sl_66@mommy.internal,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2023-06-29,2023-06-30
sl_67@mommy.internal,Adhi Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-07-03,2023-07-04
sl_68@mommy.internal,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-08-01,2023-08-02
sl_69@mommy.internal,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-08-30,2023-08-31
sl_70@mommy.internal,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-09-28,2023-09-29
sl_71@mommy.internal,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-09-29,2023-09-30
sl_72@mommy.internal,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-10-28,2023-10-29
sl_73@mommy.internal,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2023-11-12,2023-11-13
sl_74@mommy.internal,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-11-26,2023-11-27
sl_75@mommy.internal,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-12-25,2023-12-26
sl_76@mommy.internal,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-12-26,2023-12-27
