UID,Summary,Categories,Start,End
sl_153@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-01-15,2027-01-16
sl_154@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-01-22,2027-01-23
sl_155@srilanka-holidays.api,National Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-02-04,2027-02-05
sl_156@srilanka-holidays.api,Navam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-02-20,2027-02-21
sl_157@srilanka-holidays.api,Mahasivarathri Day *†,"- Public Holiday
- Bank Holiday",2027-03-06,2027-03-07
sl_158@srilanka-holidays.api,Id Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2027-03-10,2027-03-11
sl_159@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-03-21,2027-03-22
sl_160@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2027-03-26,2027-03-27
sl_161@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-04-13,2027-04-14
sl_162@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-04-14,2027-04-15
sl_163@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-04-20,2027-04-21
sl_164@srilanka-holidays.api,May Day (Labour Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-05-01,2027-05-02
sl_165@srilanka-holidays.api,Id Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2027-05-17,2027-05-18
sl_166@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-05-20,2027-05-21
sl_167@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday
- Poya Holiday",2027-05-21,2027-05-22
sl_168@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-06-18,2027-06-19
sl_169@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-07-18,2027-07-19
sl_170@srilanka-holidays.api,Milad-un-Nabi (Holy Prophet's Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-08-15,2027-08-16
sl_171@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-08-16,2027-08-17
sl_172@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-09-15,2027-09-16
sl_173@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-10-15,2027-10-16
sl_174@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2027-10-28,2027-10-29
sl_175@srilanka-holidays.api,Ill Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-11-13,2027-11-14
sl_176@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2027-12-13,2027-12-14
sl_177@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2027-12-25,2027-12-26
