UID,Summary,Categories,Start,End
sl_127@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-01-03,2026-01-04
sl_128@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-01-15,2026-01-16
sl_129@srilanka-holidays.api,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-02-01,2026-02-02
sl_130@srilanka-holidays.api,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-02-04,2026-02-05
sl_131@srilanka-holidays.api,Maha Sivarathri Day *†,"- Public Holiday
- Bank Holiday",2026-02-15,2026-02-16
sl_132@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-03-02,2026-03-03
sl_133@srilanka-holidays.api,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2026-03-21,2026-03-22
sl_134@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-04-01,2026-04-02
sl_135@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2026-04-03,2026-04-04
sl_136@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-04-13,2026-04-14
sl_137@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-04-14,2026-04-15
sl_138@srilanka-holidays.api,May Day (International Workers’ Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-05-01,2026-05-02
sl_139@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-05-01,2026-05-02
sl_140@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday
- Poya Holiday",2026-05-02,2026-05-03
sl_141@srilanka-holidays.api,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2026-05-28,2026-05-29
sl_142@srilanka-holidays.api,Adhi Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-05-30,2026-05-31
sl_143@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-06-29,2026-06-30
sl_144@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-07-29,2026-07-30
sl_145@srilanka-holidays.api,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-08-26,2026-08-27
sl_146@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-08-27,2026-08-28
sl_147@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-09-26,2026-09-27
sl_148@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-10-25,2026-10-26
sl_149@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2026-11-08,2026-11-09
sl_150@srilanka-holidays.api,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-11-24,2026-11-25
sl_151@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2026-12-23,2026-12-24
sl_152@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2026-12-25,2026-12-26
