UID,Summary,Categories,Start,End
sl_1@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-01-14,2021-01-15
sl_2@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-01-28,2021-01-29
sl_3@srilanka-holidays.api,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-02-04,2021-02-05
sl_4@srilanka-holidays.api,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-02-26,2021-02-27
sl_5@srilanka-holidays.api,Maha sivarathri Day *†,"- Public Holiday
- Bank Holiday",2021-03-11,2021-03-12
sl_6@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-03-28,2021-03-29
sl_7@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2021-04-02,2021-04-03
sl_8@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-04-13,2021-04-14
sl_9@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-04-14,2021-04-15
sl_10@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-04-26,2021-04-27
sl_11@srilanka-holidays.api,May Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-05-01,2021-05-02
sl_12@srilanka-holidays.api,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2021-05-14,2021-05-15
sl_13@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-05-26,2021-05-27
sl_14@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-05-27,2021-05-28
sl_15@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-06-24,2021-06-25
sl_16@srilanka-holidays.api,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2021-07-21,2021-07-22
sl_17@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-07-23,2021-07-24
sl_18@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-08-22,2021-08-23
sl_19@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-09-20,2021-09-21
sl_20@srilanka-holidays.api,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-10-19,2021-10-20
sl_21@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-10-20,2021-10-21
sl_22@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2021-11-04,2021-11-05
sl_23@srilanka-holidays.api,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-11-18,2021-11-19
sl_24@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2021-12-18,2021-12-19
sl_25@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2021-12-25,2021-12-26
