UID,Summary,Categories,Start,End
sl_77@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-01-15,2024-01-16
sl_78@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-01-25,2024-01-26
sl_79@srilanka-holidays.api,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-02-04,2024-02-05
sl_80@srilanka-holidays.api,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-02-23,2024-02-24
sl_81@srilanka-holidays.api,Maha Sivarathri Day *†,"- Public Holiday
- Bank Holiday",2024-03-08,2024-03-09
sl_82@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-03-24,2024-03-25
sl_83@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2024-03-29,2024-03-30
sl_84@srilanka-holidays.api,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2024-04-11,2024-04-12
sl_85@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-04-12,2024-04-13
sl_86@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-04-13,2024-04-14
sl_87@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-04-23,2024-04-24
sl_88@srilanka-holidays.api,May Day (International Workers’ Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-05-01,2024-05-02
sl_89@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-05-23,2024-05-24
sl_90@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-05-24,2024-05-25
sl_91@srilanka-holidays.api,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2024-06-17,2024-06-18
sl_92@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-06-21,2024-06-22
sl_93@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-07-20,2024-07-21
sl_94@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-08-19,2024-08-20
sl_95@srilanka-holidays.api,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-09-16,2024-09-17
sl_96@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-09-17,2024-09-18
sl_97@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-10-17,2024-10-18
sl_98@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2024-10-31,2024-11-01
sl_99@srilanka-holidays.api,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-11-15,2024-11-16
sl_100@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-12-14,2024-12-15
sl_101@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-12-25,2024-12-26
