UID,Summary,Categories,Start,End
sl_51@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-01-06,2023-01-07
sl_52@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-01-15,2023-01-16
sl_53@srilanka-holidays.api,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-02-04,2023-02-05
sl_54@srilanka-holidays.api,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-02-05,2023-02-06
sl_55@srilanka-holidays.api,Maha sivarathri Day *†,"- Public Holiday
- Bank Holiday",2023-03-18,2023-03-19
sl_56@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-03-06,2023-03-07
sl_57@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-04-05,2023-04-06
sl_58@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2023-04-07,2023-04-08
sl_59@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-04-13,2023-04-14
sl_60@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-04-14,2023-04-15
sl_61@srilanka-holidays.api,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2023-04-22,2023-04-23
sl_62@srilanka-holidays.api,May Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-05-01,2023-05-02
sl_63@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-05-05,2023-05-06
sl_64@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-05-06,2023-05-07
sl_65@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-06-03,2023-06-04
sl_66@srilanka-holidays.api,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2023-06-29,2023-06-30
sl_67@srilanka-holidays.api,Adhi Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-07-03,2023-07-04
sl_68@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-08-01,2023-08-02
sl_69@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-08-30,2023-08-31
sl_70@srilanka-holidays.api,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-09-28,2023-09-29
sl_71@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-09-29,2023-09-30
sl_72@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-10-28,2023-10-29
sl_73@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2023-11-12,2023-11-13
sl_74@srilanka-holidays.api,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-11-26,2023-11-27
sl_75@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2023-12-25,2023-12-26
sl_76@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2023-12-26,2023-12-27
